Original,Furigana,English,JLPT Level
現像,げんぞう,developing (film),N1
原則,げんそく,"principle, general rule",N1
見地,けんち,point of view,N1
現地,げんち,"actual place, local",N1
限定,げんてい,"limit, restriction",N1
原点,げんてん,"origin (coordinates, starting point)",N1
原典,げんてん,"original, source",N1
原爆,げんばく,atomic bomb,N1
原文,げんぶん,"the text, original",N1
厳密,げんみつ,"strict, close",N1
賢明,けんめい,"wisdom, intelligence, prudence",N1
倹約,けんやく,"thrift, economy, frugality",N1
原油,げんゆ,crude oil,N1
兼用,けんよう,"multi-use, combined use",N1
権力,けんりょく,"(political) power, authority, influence",N1
言論,げんろん,"discussion, speech",N1
故～,こ～,"deceased, late",N1
語彙,ごい,"vocabulary, glossary",N1
恋する,こいする,"to fall in love with, to love",N1
甲,こう,1st in rank; shell,N1
～光,～こう,light,N1
好意,こうい,"good will, favor, courtesy",N1
行為,こうい,"act, deed, conduct",N1
合意,ごうい,"agreement, consent, mutual understanding",N1
工学,こうがく,engineering,N1
抗議,こうぎ,"protest, objection",N1
合議,ごうぎ,"consultation, conference",N1
皇居,こうきょ,Imperial Palace,N1
好況,こうきょう,"prosperous conditions, healthy economy",N1
鉱業,こうぎょう,mining industry,N1
興業,こうぎょう,starting a business; industry,N1
高原,こうげん,"tableland, plateau",N1
交互,こうご,"mutual, reciprocal, alternate",N1
煌々と,こうこうと,brightly,N1
考古学,こうこがく,archeology,N1
工作,こうさく,"handicraft, maneuvering",N1
耕作,こうさく,"cultivation, farming",N1
鉱山,こうざん,mine,N1
講習,こうしゅう,"short course, training",N1
口述,こうじゅつ,verbal statement,N1
控除,こうじょ,"subsidy, deduction",N1
交渉,こうしょう,negotiation,N1
高尚,こうしょう,"high, noble, refined",N1
向上,こうじょう,"rise, improvement, progress",N1
行進,こうしん,"march, parade",N1
香辛料,こうしんりょう,spices,N1
降水,こうすい,"rainfall, precipitation",N1
洪水,こうずい,flood,N1
合成,ごうせい,"synthetic, mixed",N1
公然,こうぜん,openly,N1
抗争,こうそう,"dispute, resistance",N1
構想,こうそう,"plan, plot, idea, conception",N1
後退,こうたい,"retreat, backspace",N1
光沢,こうたく,"luster, glossy finish (of photographs)",N1
公団,こうだん,public corporation,N1
好調,こうちょう,"satisfactory, in good shape",N1
口頭,こうとう,oral,N1
講読,こうどく,reading,N1
購読,こうどく,subscription,N1
購入,こうにゅう,"purchase, buy",N1
公認,こうにん,"official recognition, authorization",N1
光熱費,こうねつひ,cost of fuel and light,N1
購買,こうばい,"purchase, buy",N1
好評,こうひょう,"popularity, favorable reputation",N1
交付,こうふ,"delivering, furnishing (with copies)",N1
公募,こうぼ,"public appeal, public contribution",N1
巧妙,こうみょう,"ingenious, skillful, clever",N1
公用,こうよう,"government business, public use, public expense",N1
小売,こうり,retail,N1
効率,こうりつ,efficiency,N1
公立,こうりつ,public institution,N1
護衛,ごえい,"guard, convoy, escort",N1
コーナー,コーナー,corner,N1
小柄,こがら,"small, diminutive",N1
小切手,こぎって,"cheque, check",N1
国産,こくさん,domestic products,N1
国定,こくてい,"state-sponsored, national",N1
告白,こくはく,"confession, acknowledgment",N1
国防,こくぼう,national defense,N1
国有,こくゆう,national ownership,N1
極楽,ごくらく,paradise,N1
国連,こくれん,"U.N., United Nations",N1
